Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance,Importance
Recreation,,9/15/2018 10:00,Manhattan,Park,Thomas Jefferson Park,Jefferson Track Day,Community Based Event,Fitness,,General Public,82,2
Recreation,,9/22/2018 19:30,Manhattan,Playground,Baruch Playground,Movies Under the Stars - Black Panther,Community Based Event,Mobile Unit,Movies,General Public,139,3
Recreation,,9/22/2018 11:00,Manhattan,Recreation Center,Pelham Fritz Recreation Center,Family and Friends Day,Community Based Event,Family Festival,,General Public,120,3
Recreation,Alvin Ailey,9/22/2018 15:00,Manhattan,Park,Highbridge Park,ACF Alvin Ailey: Revelations,Community Based Event,Arts/Culture,Dance,General Public,15,1
Recreation,,9/21/2018 19:30,Manhattan,Playground,Courtney Callender Playground,Movies Under the Stars - Toy Story,Community Based Event,Mobile Unit,Movies,General Public,72,2
Recreation,,9/21/2018 18:00,Manhattan,Recreation Center,Asser Levy Recreation Center,Art Inspired By... Alma Thomas,Community Based Event,Arts/Culture,AC&F,General Public,16,1
Recreation,,9/21/2018 18:00,Manhattan,Park,James J Walker Park,Movies Under the Stars - Grease Sing Along,Community Based Event,Mobile Unit,AC&F,General Public,67,2
Recreation,,9/20/2018 19:30,Manhattan,Playground,Corlears Hook Playground,Movies Under the Stars - The Greatest Showman,Community Based Event,Mobile Unit,Movies,General Public,111,3
Recreation,,9/19/2018 19:30,Manhattan,Playground,Poor Richard's Playground,Movies Under the Stars - Space Jam,Community Based Event,Mobile Unit,Movies,General Public,67,2
Recreation,,9/20/2018 19:00,Bronx,Playground,Slattery Playground,Movies Under The Stars: Black Panther,Community Based Event,Mobile Unit,Movies,General Public,20,1
Recreation,,9/15/2018 20:00,Queens,Playground,Ehrenreich/Austin Playground,"Movies Under the Stars ""Kubo and the Two Strings""",Community Based Event,Mobile Unit,Movies,General Public,67,2
Recreation,,9/14/2018 20:00,Queens,Park,Brookville Park,"Movies Under the Stars ""Coco""",Community Based Event,Mobile Unit,Movies,General Public,21,1
Recreation,,9/15/2018 19:00,Bronx,Recreation Center,Williamsbridge Oval Recreation Center,Movies Under The Stars: Honey I Shrunk The Kids,Community Based Event,Mobile Unit,Lecture/Panel/Talk,General Public,73,2
Recreation,Harlem Dance Club,9/15/2018 16:00,Manhattan,Park,Marcus Garvey Park,Harlem Dance Festival,Community Based Event,Arts/Culture,Dance,General Public,1426,5
