Radio,Cell,Lon,Lat,Nearest_Distance,RSCP,Traffic,Ecno,Area coverage,Predict
3,196833590,39.669571,-4.047775,0.101489563,-85,0,-10,0.101489563,0
3,33670739,39.704819,-4.039536,0.10149054,-85,0,-10,0.10149054,0
2,9525,39.718552,-4.025345,0.101492405,-85,0,-10,0.101492405,0
2,8081,34.866714,3.707199,0.101536042,-85,0,-10,0.101536042,0
2,15435,39.871445,-3.57399,0.101545495,-85,0,-10,0.101545495,0
3,196659102,39.66819763,-4.075241089,0.101555967,-85,0,-10,0.101555967,0
2,13894,40.115891,-3.215561,0.101583164,-85,0,-10,0.101583164,0
2,8435,39.497452,-3.889847,0.101592214,-85,0,-10,0.101592214,0
2,13702,39.639816,-4.105911,0.101593145,-85,0,-10,0.101593145,0
4,7923200,39.670486,-4.067001,0.101598113,-85,0,-10,0.101598113,0
3,196860012,39.673233,-4.062881,0.101598557,-85,0,-10,0.101598557,0
3,19832205,39.661331,-4.060135,0.101598956,-85,0,-10,0.101598956,0
3,19831923,39.676895,-4.057846,0.101599266,-85,0,-10,0.101599266,0
3,196855729,39.6595,-4.051437,0.101600065,-85,0,-10,0.101600065,0
2,10616,39.647598,-4.033127,0.101602371,-85,0,-10,0.101602371,0
2,9085,39.632492,-4.01619,0.101604411,-85,0,-10,0.101604411,0
2,228,39.614639,-3.998337,0.101606673,-85,0,-10,0.101606673,0
3,196788632,39.744186,-3.941574,0.101613592,-85,0,-10,0.101613592,0
3,196900326,39.849014,-3.640366,0.101649064,-85,0,-10,0.101649064,0
2,3202,38.67897,-3.492508,0.101665377,-85,0,-10,0.101665377,0
3,72266576,36.879387,-1.229439,0.101675084,-85,0,-10,0.101675084,0
3,196657285,37.93647766,-2.409439087,0.101691215,-85,0,-10,0.101691215,0
3,72459402,36.755219,-1.39595,0.101713148,-85,0,-10,0.101713148,0
3,98478112,36.900101,-1.343765,0.101715364,-85,0,-10,0.101715364,0
2,2691,36.7939,-1.324539,0.101716161,-85,0,-10,0.101716161,0
3,33539824,36.801682,-1.324081,0.101716161,-85,0,-10,0.101716161,0
4,2668545,36.846085,-1.321793,0.101716294,-85,0,-10,0.101716294,0
3,98479836,36.859818,-1.318588,0.101716427,-85,0,-10,0.101716427,0
2,5915,36.861191,-1.31813,0.101716427,-85,0,-10,0.101716427,0
3,98479236,36.81839,-1.312866,0.101716604,-85,0,-10,0.101716604,0
2,6130,36.814957,-1.313095,0.101716648,-85,0,-10,0.101716648,0
2,4091,36.880875,-1.31218,0.101716693,-85,0,-10,0.101716693,0
3,98491874,36.816788,-1.311264,0.101716781,-85,0,-10,0.101716781,0
3,118010195,36.813126,-1.302567,0.101717091,-85,0,-10,0.101717091,0
