Cell-ID,Longitude,Latitude,Nearest_Distance,Area-Coverage,Range,Technology,Predict
2382,45.8318962,9.019011764,1.250212951,47,2796,2,1
9481,45.83309672,9.030192509,0.658481335,5126,1000,2,1
3329,45.83430086,9.035993739,1.623741975,4068,1000,2,1
7816,45.83480459,9.021399553,1.13226566,5126,1000,2,1
884,45.83512841,9.031577239,0.334475863,5126,1000,2,1
8033,45.83588949,9.028664651,0.174037894,45019,1000,3,1
3163,45.83645005,9.027200673,0.901846437,45019,1000,3,1
6996,45.83728022,9.035269627,0.233332886,45019,1000,3,1
12199,45.83866147,9.033675091,1.28812306,45019,18712,3,1
1120,45.83868159,9.022090739,2.133608915,122,1000,2,1
10976,45.83886074,9.002903549,2.190708966,45019,1000,3,1
6392,45.83907022,9.022603982,2.141837845,45019,1499,3,1
12641,45.83951135,9.003346899,1.687395107,45019,1000,3,1
12760,45.83981159,9.018519111,4.406757904,331,1766,3,1
3825,45.84082125,8.978900733,5.359850781,331,1000,3,1
3214,45.84169686,9.027095271,0.826472954,331,1000,3,1
7946,45.84219444,9.034511658,4.750218691,26,111183,2,1
6485,45.84240697,8.99179243,6.607682257,27,1000,2,1
5134,45.84387923,8.932385914,10.7367015,25,1000,2,1
3868,45.8441539,9.028943009,1.532101735,25,1000,2,1
1161,45.84508565,9.015195251,0.019761826,25,1711,2,1
12236,45.84526552,9.015200425,0.355258401,25,1000,2,1
12466,45.84674493,9.012359202,0.281791841,4000,1115,2,1
2720,45.84706806,9.009845163,7.77530234,4001,1000,2,1
6815,45.84798018,8.939925994,1.134816777,4001,4625,2,1
4037,45.84873426,8.950104424,3.302812772,4001,1061,2,1
3349,45.85360795,8.979414605,3.057536967,4001,1000,2,1
1917,45.85381109,8.951918247,9.412336008,108,1000,2,1
10253,45.85648027,9.036524353,10.58164442,107,13850,2,1
1512,45.85667,8.941361523,3.43289259,107,2833,2,1
12646,45.86085371,8.971956411,3.882930698,107,1000,2,1
5941,45.86216205,9.006852526,3.659702421,107,138578,2,1
2265,45.86395691,8.973987812,0.732234692,107,1000,2,1
7450,45.86491125,8.980505139,1.130865987,107,8574,2,1
3991,45.86510442,8.970336807,1.079339428,107,2133,2,1
11781,45.86554751,8.980033668,1.076613132,2019,9832,2,1
2393,45.86600378,8.970361948,1.501440441,2019,4142,2,1
6275,45.86758341,8.983774277,0.689893759,2019,3906,2,1
691,45.86832482,8.977613283,200.9237446,2019,4631,2,0
5682,45.86905276,7.170662781,202.0677887,2015,2548,2,0
3736,45.86918198,8.987902059,0.214471109,2015,3539,2,1
12697,45.87005153,8.98617505,0.208571856,2015,3506,2,1
1301,45.87028677,8.988036335,0.122272573,2015,1000,2,1
12214,45.87042778,8.986945567,1.164624909,2012,1859,2,1
2896,45.87271863,8.97671919,199.9501961,2009,1346,2,0
4878,45.87311922,7.178523919,201.1654994,2012,6231,2,0
9197,45.87388195,8.987648561,5.730514737,2012,1000,2,1
12562,45.87435613,8.936114933,4.79522839,2026,1000,2,1
205,45.87536536,8.979227933,0.158653244,2026,1311,2,1
8618,45.87585979,8.980568553,3.507521691,2009,1000,2,1
7257,45.87589265,8.949024669,3.385088996,2026,1000,2,1
10947,45.87640579,8.979463286,0.129891438,2015,1000,2,1
11527,45.87742328,8.980058673,0.286782754,2015,1000,2,1
7824,45.87938992,8.978362119,2.454112992,2015,1000,2,1
2924,45.87994219,8.956298494,9.551954103,2015,1000,2,1
5242,45.88434618,9.042091083,206.5093127,2015,1000,2,0
9877,45.88482784,7.184908277,199.0190278,3000,1000,2,0
